sku,name,warehouse,region,status,quantity,unit_cost,retail_price,last_ordered,owner,category,notes
SKU-1001,Universal Adapter,SEA-01,us-west,active,48,4.20,9.99,2026-05-12,ops,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1002,Cable Kit,SEA-01,us-west,active,72,1.75,4.99,2026-05-11,ops,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1003,Notebook Pack,DAL-02,us-central,active,110,2.10,5.49,2026-05-10,fulfillment,stationery,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1004,Sticker Set,DAL-02,us-central,active,240,0.20,1.99,2026-05-09,fulfillment,merch,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1005,Desk Lamp,PHX-03,us-west,active,34,8.80,19.99,2026-05-08,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1006,Wireless Mouse,PHX-03,us-west,active,58,12.40,24.99,2026-05-12,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1007,Keyboard Tray,ATL-04,us-east,active,27,9.10,21.99,2026-05-07,procurement,furniture,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1008,Standing Mat,ATL-04,us-east,active,19,14.00,29.99,2026-05-06,procurement,furniture,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1009,Cable Label Pack,SEA-01,us-west,active,180,0.60,2.49,2026-05-05,ops,supplies,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1010,Monitor Arm,SEA-01,us-west,active,15,26.00,49.99,2026-05-04,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1011,USB Hub,DAL-02,us-central,active,66,6.50,13.99,2026-05-03,fulfillment,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1012,Privacy Filter,DAL-02,us-central,active,41,7.80,16.99,2026-05-02,fulfillment,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1013,Desk Calendar,PHX-03,us-west,active,97,1.40,3.99,2026-05-01,ops,stationery,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1014,Pen Pack,PHX-03,us-west,active,300,0.35,1.49,2026-04-30,ops,stationery,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1015,Whiteboard Marker,ATL-04,us-east,active,125,0.90,2.99,2026-04-29,procurement,supplies,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1016,Notebook Sleeve,ATL-04,us-east,active,44,3.60,8.99,2026-04-28,procurement,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1017,Desk Fan,SEA-01,us-west,active,22,11.00,24.99,2026-04-27,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1018,Mouse Pad,SEA-01,us-west,active,210,0.80,2.49,2026-04-26,ops,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1019,Power Strip,DAL-02,us-central,active,31,5.20,11.99,2026-04-25,fulfillment,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1020,Shipping Scale,DAL-02,us-central,active,12,18.00,39.99,2026-04-24,fulfillment,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1021,Label Printer,PHX-03,us-west,active,9,78.00,149.99,2026-04-23,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1022,Tape Dispenser,PHX-03,us-west,active,53,2.25,5.99,2026-04-22,ops,supplies,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1023,Handheld Scanner,ATL-04,us-east,active,18,49.00,99.99,2026-04-21,procurement,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1024,Desk Divider,ATL-04,us-east,active,14,16.50,34.99,2026-04-20,procurement,furniture,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
